Title,Details,Category,Rating,Votes,Director
Eik ir žiūrėk,1985Not Rated2h 22m,Drama,8.4,92K,Elem Klimov
Keršytojai: Begalybės karas,2018N-132h 29m,Action,8.4,1.2M,Anthony Russo
Tavo vardas,2016TV-PG1h 46m,Animation,8.4,306K,Makoto Shinkai
Koko,2017V1h 45m,Animation,8.4,568K,Lee Unkrich
Amadėjus,1984PG2h 40m,Biography,8.4,421K,Milos Forman
WALL·E. Šiukšlių princo istorija,2008V1h 38m,Animation,8.4,1.2M,Andrew Stanton
3 idiotai,2009PG-132h 50m,Comedy,8.4,423K,Rajkumar Hirani
Kitų gyvenimai,2006R2h 17m,Drama,8.4,404K,Florian Henckel von Donnersmarck
Kaltinimo liudytojas,1957Approved1h 56m,Crime,8.4,134K,Billy Wilder
"Daktaras Streindžlavas, arba kaip aš nustojau jaudintis ir pamilau atominę bombą",1964PG1h 35m,Comedy,8.4,511K,Stanley Kubrick
Kafarnaumas,2018R2h 6m,Drama,8.4,101K,Nadine Labaki
Povandeninis laivas,19812h 29m,Drama,8.4,261K,Wolfgang Petersen
Saulėlydžio bulvaras,1950Passed1h 50m,Drama,8.4,233K,Billy Wilder
Garbės keliai,1957Approved1h 28m,Drama,8.4,209K,Stanley Kubrick
Didysis diktatorius,1940G2h 5m,Comedy,8.4,234K,Charles Chaplin
Kaithi,2019Not Rated2h 25m,Action,8.4,41K,Lokesh Kanagaraj
Rojus ir pragaras,1963Not Rated2h 23m,Crime,8.4,51K,Akira Kurosawa
Sardaras Udhamas,2021TV-MA2h 44m,Biography,8.4,46K,Shoojit Sircar
Samsara,2011PG-131h 42m,Documentary,8.4,38K,Ron Fricke
2018,2023Not Rated2h 30m,Action,8.4,10K,Jude Anthany Joseph
The Rescue,2021PG1h 47m,Documentary,8.4,20K,Jimmy Chin
Ilanka,2009PG-131h 32m,Documentary,8.4,51K,Louie Psihoyos
Žemes druska,2014PG-131h 50m,Documentary,8.4,23K,Juliano Ribeiro Salgado
Flåklypa Grand Prix,1975G1h 28m,Animation,8.4,14K,Ivo Caprino
Sanshô dayû,1954Not Rated2h 4m,Drama,8.4,18K,Kenji Mizoguchi
Mahanati,2018Not Rated2h 57m,Biography,8.4,14K,Nag Ashwin
Asuran,2019Not Rated2h 21m,Action,8.4,33K,Vetrimaaran
Shingeki no Kyojin: Chronicle,20202h 2m,Animation,8.4,12K,Masashi Koizuka
Black Friday,2004Not Rated2h 23m,Action,8.4,22K,Anurag Kashyap
Marmoulak,20041h 55m,Comedy,8.4,22K,Kamal Tabrizi
Vada Chennai,2018Not Rated2h 44m,Action,8.4,19K,Vetrimaaran
Filantropica,20021h 50m,Comedy,8.4,14K,Nae Caranfil
Thani Oruvan,2015Not Rated2h 40m,Action,8.4,21K,Mohan Raja
Drishyam 2,20212h 32m,Crime,8.4,40K,Jeethu Joseph
Aruvi,2016Not Rated2h 10m,Drama,8.4,14K,Arun Prabhu Purushothaman
Dzhentlmeny udachi,1971TV-131h 28m,Comedy,8.4,13K,Aleksandr Seryy
Muhsin Bey,19871h 59m,Comedy,8.4,11K,Yavuz Turgul
Kad porastem bicu Kengur,20041h 32m,Comedy,8.4,11K,Radivoje Andric
Kapicilar Krali,19761h 24m,Comedy,8.4,13K,Zeki Ökten
Asas Maverikas,2022PG-132h 10m,Action,8.3,646K,Joseph Kosinski
Rekviem svajonei,2000N-181h 42m,Drama,8.3,883K,Darren Aronofsky
Karštis,1995R2h 50m,Action,8.3,702K,Michael Mann
Amerikos grožybės,1999R2h 2m,Drama,8.3,1.2M,Sam Mendes
